game_id,week,team,opponent,player_id,pbp_player_name,gsis_id,player_name,position,q1_rush_att,q1_rush_yds,q1_ypc,site,team_q1_rush_att,team_q1_rush_yds,rb_q1_carry_share,rb_q1_yard_share,hit_15,hit_20,hit_25
2025_01_ARI_NO,1,ARI,NO,00-0033553,J.Conner,00-0033553,James Conner,RB,5,17.0,3.4,A,7,31.0,0.7142857142857143,0.5483870967741935,1,0,0
2025_01_ARI_NO,1,ARI,NO,00-0039921,T.Benson,00-0039921,Trey Benson,RB,1,1.0,1.0,A,7,31.0,0.14285714285714285,0.03225806451612903,0,0,0
2025_01_ARI_NO,1,NO,ARI,00-0033906,A.Kamara,00-0033906,Alvin Kamara,RB,3,14.0,4.666666666666667,H,6,32.0,0.5,0.4375,0,0,0
2025_01_ARI_NO,1,NO,ARI,00-0038551,K.Miller,00-0038551,Kendre Miller,RB,1,10.0,10.0,H,6,32.0,0.16666666666666666,0.3125,0,0,0
2025_01_ARI_NO,1,NO,ARI,00-0040202,D.Neal,00-0040202,Devin Neal,RB,0,0.0,0.0,H,6,32.0,0.0,0.0,0,0,0
2025_01_BAL_BUF,1,BAL,BUF,00-0032764,D.Henry,00-0032764,Derrick Henry,RB,5,22.0,4.4,A,8,42.0,0.625,0.5238095238095238,1,1,0
2025_01_BAL_BUF,1,BAL,BUF,00-0034975,J.Hill,00-0034975,Justice Hill,RB,1,1.0,1.0,A,8,42.0,0.125,0.023809523809523808,0,0,0
2025_01_BAL_BUF,1,BAL,BUF,00-0039796,R.Ali,00-0039796,Rasheen Ali,RB,0,0.0,0.0,A,8,42.0,0.0,0.0,0,0,0
2025_01_BAL_BUF,1,BUF,BAL,00-0035537,Ty.Johnson,00-0035537,Ty Johnson,RB,1,17.0,17.0,H,6,30.0,0.16666666666666666,0.5666666666666667,1,0,0
2025_01_BAL_BUF,1,BUF,BAL,00-0037248,J.Cook,00-0037248,James Cook,RB,4,10.0,2.5,H,6,30.0,0.6666666666666666,0.3333333333333333,0,0,0
2025_01_BAL_BUF,1,BUF,BAL,00-0039875,R.Davis,00-0039875,Ray Davis,RB,0,0.0,0.0,H,6,30.0,0.0,0.0,0,0,0
2025_01_CAR_JAX,1,CAR,JAX,00-0036555,C.Hubbard,00-0036555,Chuba Hubbard,RB,6,22.0,3.6666666666666665,A,7,25.0,0.8571428571428571,0.88,1,1,0
2025_01_CAR_JAX,1,CAR,JAX,00-0040644,T.Etienne,00-0040644,Trevor Etienne,RB,0,0.0,0.0,A,7,25.0,0.0,0.0,0,0,0
2025_01_CAR_JAX,1,CAR,JAX,00-0036139,R.Dowdle,00-0036139,Rico Dowdle,RB,0,0.0,0.0,A,7,25.0,0.0,0.0,0,0,0
