model,split,week,spearman,top5_capture,top10_capture,top5_overlap,top10_overlap,top5_hit20,top10_hit20,top5_avg_yards,top10_avg_yards,top1_yards
walk-forward optimized,test_wk13_18,14,0.5467261836733326,0.5535055350553506,0.5563549160671463,0.4,0.4,0.6,0.5,30.0,23.2,6.0
walk-forward optimized,test_wk13_18,15,0.5368129483368885,0.5393939393939394,0.7766323024054983,0.2,0.5,0.4,0.5,17.8,22.6,25.0
walk-forward optimized,test_wk13_18,16,0.5913391097733592,0.6896551724137931,0.7556675062972292,0.4,0.5,0.6,0.6,36.0,30.0,57.0
walk-forward optimized,test_wk13_18,17,0.5673289596313951,0.32270916334661354,0.5683453237410072,0.2,0.3,0.4,0.6,16.2,23.7,0.0
walk-forward optimized,test_wk13_18,18,0.408392344023533,0.41638225255972694,0.4366812227074236,0.2,0.2,0.2,0.3,24.4,20.0,15.0
walk-forward optimized,all_wk5_18,5,0.3905131621438865,0.3614457831325301,0.458955223880597,0.0,0.2,0.2,0.2,12.0,12.3,12.0
walk-forward optimized,all_wk5_18,6,0.4565028126663435,0.468,0.44801980198019803,0.2,0.3,0.6,0.4,23.4,18.1,40.0
walk-forward optimized,all_wk5_18,7,0.4039331643056169,0.3212669683257919,0.49709302325581395,0.0,0.4,0.4,0.4,14.2,17.1,16.0
walk-forward optimized,all_wk5_18,8,0.5425343404575615,0.4391891891891892,0.6828703703703703,0.2,0.4,0.6,0.5,26.0,29.5,1.0
walk-forward optimized,all_wk5_18,9,0.5258672880663936,0.5377358490566038,0.5495750708215298,0.2,0.4,0.6,0.4,22.8,19.4,42.0
walk-forward optimized,all_wk5_18,10,0.5307327240142895,0.7164948453608248,0.8676923076923077,0.4,0.7,0.8,0.7,27.8,28.2,11.0
walk-forward optimized,all_wk5_18,11,0.4109111103361145,0.5483870967741935,0.6774193548387096,0.4,0.5,0.6,0.5,27.2,27.3,50.0
walk-forward optimized,all_wk5_18,12,0.5918966308986673,0.5,0.5118343195266272,0.2,0.3,0.4,0.2,22.0,17.3,29.0
walk-forward optimized,all_wk5_18,13,0.5727038384661403,0.6527777777777778,0.5721784776902887,0.4,0.3,0.6,0.4,28.2,21.8,45.0
walk-forward optimized,all_wk5_18,14,0.5467261836733326,0.5535055350553506,0.5563549160671463,0.4,0.4,0.6,0.5,30.0,23.2,6.0
walk-forward optimized,all_wk5_18,15,0.5368129483368885,0.5393939393939394,0.7766323024054983,0.2,0.5,0.4,0.5,17.8,22.6,25.0
walk-forward optimized,all_wk5_18,16,0.5913391097733592,0.6896551724137931,0.7556675062972292,0.4,0.5,0.6,0.6,36.0,30.0,57.0
walk-forward optimized,all_wk5_18,17,0.5673289596313951,0.32270916334661354,0.5683453237410072,0.2,0.3,0.4,0.6,16.2,23.7,0.0
walk-forward optimized,all_wk5_18,18,0.408392344023533,0.41638225255972694,0.4366812227074236,0.2,0.2,0.2,0.3,24.4,20.0,15.0
