model,split,spearman,top5_capture,top10_capture,top5_overlap,top10_overlap,top5_hit20,top10_hit20,top5_avg_yards,top10_avg_yards,top1_yards,weeks,objective
v0.5 production calibrated,train_wk5_12,0.45879913978359965,0.4513474204810473,0.496624802243153,0.17500000000000002,0.325,0.425,0.35000000000000003,20.625,17.8,25.75,8,0.5310666615715718
v0.5 production calibrated,test_wk13_18,0.5214729058910552,0.48193960218512427,0.5759248058949599,0.23333333333333336,0.3333333333333333,0.3666666666666667,0.43333333333333335,23.46666666666667,22.150000000000002,25.5,6,0.5528163043717685
v0.5 production calibrated,all_wk5_18,0.4856593252582235,0.46445835549708026,0.5306105180939273,0.2,0.3285714285714286,0.4,0.38571428571428573,21.842857142857145,19.664285714285715,25.642857142857142,14,0.5403879370573703
