model,score_band,n,avg_actual_yards,median_actual_yards,hit20_rate,hit25_rate
v0.5 production calibrated,0-39,257,5.533073929961089,1.0,0.08949416342412451,0.06614785992217899
v0.5 production calibrated,40-49,57,10.263157894736842,6.0,0.17543859649122806,0.12280701754385964
v0.5 production calibrated,50-59,42,16.571428571428573,12.0,0.2619047619047619,0.19047619047619047
v0.5 production calibrated,60-69,48,18.354166666666668,15.0,0.375,0.2916666666666667
v0.5 production calibrated,70-79,36,22.416666666666668,19.0,0.4722222222222222,0.3888888888888889
v0.5 production calibrated,80-100,16,22.9375,16.5,0.375,0.3125
