player_id,player_name,team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_15,rush_yds_hit_20,rush_yds_hit_25,rush_att_mean,rush_att_median,carry_share_mean,yard_share_mean,rush_yds_hit_35,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_40,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100
00-0036997,Javonte Williams,DAL,Full Game,16,75.0625,79.5,28.294144160055453,29.0,54.0,91.5,135.0,,,,15.75,15.5,0.5935876879001654,0.6248527533016734,,,,0.875,0.8125,0.625,0.5625,0.5,0.125
00-0037085,Tyler Badie,DEN,Full Game,4,5.75,4.5,6.5717197140474575,-2.0,1.75,8.5,16.0,,,,2.0,1.5,0.06773233486943164,0.03674126511764426,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037120,Tyler Goodson,IND,Full Game,5,4.8,4.0,2.481934729198171,2.0,3.0,6.0,9.0,,,,1.8,2.0,0.07852884243128144,0.05260414826431962,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037157,Bam Knight,ARI,Full Game,10,26.9,25.5,19.04442175546425,-2.0,13.0,32.5,62.0,,,,8.2,9.5,0.3825101077280908,0.33255956016457977,,,,0.2,0.2,0.1,0.0,0.0,0.0
00-0037197,Isiah Pacheco,KC,Full Game,13,35.53846153846154,34.0,13.089134569824783,16.0,25.0,45.0,58.0,,,,9.076923076923077,9.0,0.36338931898829385,0.34386384415363713,,,,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0
00-0037228,Jaylen Warren,PIT,Full Game,16,59.875,57.0,32.511296113812506,13.0,36.5,66.5,143.0,,,,13.1875,13.5,0.5784277748631969,0.6155715668144653,,,,0.6875,0.5625,0.5,0.1875,0.125,0.125
00-0037248,James Cook,BUF,Full Game,17,95.3529411764706,107.0,46.216805164190816,15.0,53.0,117.0,216.0,,,,18.176470588235293,18.0,0.5812186625046636,0.5951241639604392,,,,0.9411764705882353,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.5294117647058824
00-0037256,Rachaad White,TB,Full Game,17,33.64705882352941,38.0,18.12356664180837,7.0,17.0,45.0,65.0,,,,7.764705882352941,7.0,0.3020969620388336,0.32827857843245195,,,,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0
00-0037258,Dameon Pierce,HOU,Full Game,2,13.0,13.0,8.0,5.0,9.0,17.0,21.0,,,,5.0,5.0,0.1616161616161616,0.08480407605840949,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037258,Dameon Pierce,KC,Full Game,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0,,,,4.0,4.0,0.17391304347826086,0.11904761904761904,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037263,Tyler Allgeier,ATL,Full Game,17,30.235294117647058,23.0,22.94630410267236,4.0,16.0,44.0,79.0,,,,8.411764705882353,10.0,0.27834646612619374,0.2397993336283521,,,,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.0,0.0
00-0037267,Jerome Ford,CLE,Full Game,9,8.11111111111111,2.0,10.857096444716541,-3.0,0.0,17.0,31.0,,,,2.6666666666666665,1.0,0.10802793732532294,0.08762269158087718,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037276,Ty Chandler,MIN,Full Game,2,23.5,23.5,0.5,23.0,23.25,23.75,24.0,,,,8.5,8.5,0.28629032258064513,0.15989097292802365,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037329,Brittain Brown,CHI,Full Game,1,37.0,37.0,0.0,37.0,37.0,37.0,37.0,,,,5.0,5.0,0.13513513513513514,0.13074204946996468,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037525,Jordan Mason,MIN,Full Game,16,47.375,46.0,28.068832804375745,3.0,29.75,57.0,116.0,,,,9.9375,10.0,0.42245889812585413,0.44757628092839563,,,,0.625,0.4375,0.1875,0.125,0.125,0.0625
00-0037557,Ronnie Rivers,LA,Full Game,2,23.0,23.0,18.0,5.0,14.0,32.0,41.0,,,,4.5,4.5,0.1361111111111111,0.10406844770385891,,,,0.5,0.0,0.0,0.0,0.0,0.0
00-0037563,Malik Davis,DAL,Full Game,9,27.77777777777778,21.0,29.57768595027068,3.0,6.0,24.0,103.0,,,,5.777777777777778,3.0,0.1840622060129242,0.19129768912163014,,,,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
00-0037594,Julius Chestnut,TEN,Full Game,7,5.714285714285714,3.0,8.41281820819169,0.0,1.5,4.0,26.0,,,,1.5714285714285714,2.0,0.06790370430121984,0.06659664036108909,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037617,Hassan Haskins,LAC,Full Game,5,9.4,13.0,5.238320341483518,3.0,3.0,14.0,14.0,,,,3.4,4.0,0.1313032708032708,0.0716160918043515,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037745,Velus Jones Jr.,SEA,Full Game,1,32.0,32.0,0.0,32.0,32.0,32.0,32.0,,,,4.0,4.0,0.15384615384615385,0.24806201550387597,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0037746,Brian Robinson,SF,Full Game,15,26.666666666666668,22.0,11.358794928258112,9.0,20.5,34.5,53.0,,,,6.133333333333334,6.0,0.2073083585078991,0.2485500115380125,,,,0.2,0.06666666666666667,0.0,0.0,0.0,0.0
00-0037840,Kyren Williams,LA,Full Game,17,73.6470588235294,72.0,17.0153604531165,46.0,65.0,84.0,114.0,,,,15.235294117647058,13.0,0.5734416333416623,0.6218440535070985,,,,1.0,0.9411764705882353,0.8235294117647058,0.5882352941176471,0.29411764705882354,0.058823529411764705
00-0038040,Zamir White,LV,Full Game,5,6.4,5.0,7.116178749862878,-2.0,2.0,8.0,19.0,,,,2.4,2.0,0.09801691729323309,0.07837307330440832,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038120,Breece Hall,NYJ,Full Game,16,66.5625,58.5,33.739755389599374,21.0,41.75,89.0,133.0,,,,15.1875,14.0,0.5728781840928374,0.533071215181008,,,,0.75,0.625,0.4375,0.375,0.375,0.25
00-0038134,Kenneth Walker III,SEA,Full Game,17,60.411764705882355,66.0,26.95761122147447,17.0,38.0,81.0,105.0,,,,13.0,13.0,0.4410039506676115,0.48881963825858427,,,,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.29411764705882354,0.11764705882352941
00-0038397,Evan Hull,NO,Full Game,6,8.0,7.5,4.83045891539648,3.0,3.25,11.75,15.0,,,,3.1666666666666665,3.0,0.12338579730789874,0.08813377715149501,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038440,Zavier Scott,MIN,Full Game,9,12.666666666666666,15.0,8.589399151150083,1.0,4.0,17.0,30.0,,,,3.5555555555555554,3.0,0.15202362916351034,0.14931656368186308,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038454,Keaton Mitchell,BAL,Full Game,12,28.416666666666668,25.0,22.347476864787716,2.0,10.75,34.0,76.0,,,,4.916666666666667,4.0,0.1551668701261416,0.168171937766689,,,,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0
00-0038458,Owen Wright,TB,Full Game,1,6.0,6.0,0.0,6.0,6.0,6.0,6.0,,,,3.0,3.0,0.10344827586206896,0.04878048780487805,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038542,Bijan Robinson,ATL,Full Game,17,86.94117647058823,76.0,48.77737010038605,24.0,46.0,104.0,195.0,,,,16.88235294117647,17.0,0.6146281759410127,0.6633335199247439,,,,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.47058823529411764,0.29411764705882354
00-0038551,Kendre Miller,NO,Full Game,7,27.571428571428573,24.0,18.684272552505934,7.0,14.5,34.0,65.0,,,,6.714285714285714,7.0,0.2452444306664255,0.26982478522724146,,,,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
00-0038555,Tank Bigsby,JAX,Full Game,1,12.0,12.0,0.0,12.0,12.0,12.0,12.0,,,,5.0,5.0,0.15625,0.06,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038555,Tank Bigsby,PHI,Full Game,10,34.4,22.5,32.68088126106761,4.0,7.25,52.0,104.0,,,,5.8,3.5,0.1998373909834116,0.25839689295401785,,,,0.3,0.3,0.2,0.2,0.1,0.1
00-0038597,Chase Brown,CIN,Full Game,17,59.94117647058823,53.0,30.539214112611297,3.0,40.0,78.0,108.0,,,,13.647058823529411,12.0,0.6224523149315218,0.652760380956084,,,,0.7647058823529411,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.23529411764705882,0.17647058823529413
00-0038611,Chris Rodriguez Jr.,WAS,Full Game,12,41.666666666666664,46.5,25.276251480171837,2.0,15.0,63.5,79.0,,,,9.333333333333334,10.5,0.3119191696156834,0.31104182771237937,,,,0.5833333333333334,0.5,0.3333333333333333,0.08333333333333333,0.0,0.0
00-0038685,Chris Brooks,GB,Full Game,7,15.142857142857142,8.0,19.78042734933826,1.0,2.5,15.5,61.0,,,,3.857142857142857,1.0,0.11405904654351859,0.11572063314910729,,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
00-0038705,Emari Demercado,ARI,Full Game,11,28.363636363636363,11.0,30.212197197558016,0.0,4.5,47.0,81.0,,,,4.0,3.0,0.19372401490974556,0.25779644718779166,,,,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0
00-0038738,Hunter Luepke,DAL,Full Game,7,10.142857142857142,6.0,9.598044018423328,0.0,3.5,14.0,30.0,,,,2.2857142857142856,1.0,0.06795168285471521,0.06509977523024255,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038794,Jaleel McLaughlin,DEN,Full Game,8,23.375,23.0,14.645285077457523,0.0,15.25,37.75,41.0,,,,4.625,5.5,0.18562622633069842,0.22748269239075244,,,,0.25,0.0,0.0,0.0,0.0,0.0
00-0038797,Emanuel Wilson,GB,Full Game,16,31.0,16.5,29.434248758886305,2.0,10.75,44.0,107.0,,,,7.8125,6.0,0.25103725234758156,0.2465796890435716,,,,0.375,0.1875,0.1875,0.125,0.125,0.0625
00-0038896,Jacob Saylors,DET,Full Game,1,11.0,11.0,0.0,11.0,11.0,11.0,11.0,,,,2.0,2.0,0.06896551724137931,0.10091743119266056,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0038951,Sean Tucker,TB,Full Game,14,22.857142857142858,7.5,29.14460779055546,-4.0,3.0,38.75,106.0,,,,6.142857142857143,4.0,0.21448197138923203,0.18610816001896602,,,,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
00-0039021,Roschon Johnson,CHI,Full Game,2,8.5,8.5,2.5,6.0,7.25,9.75,11.0,,,,1.0,1.0,0.031018518518518518,0.044774774774774775,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039032,Tyjae Spears,TEN,Full Game,13,21.76923076923077,19.0,18.000657450189234,-1.0,4.0,31.0,59.0,,,,5.538461538461538,5.0,0.2488734227588717,0.23538529362700447,,,,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0
00-0039040,De'Von Achane,MIA,Full Game,16,84.375,81.5,38.8520832774769,16.0,61.5,104.25,174.0,,,,14.875,14.5,0.6127674599028355,0.7047962219883422,,,,0.875,0.875,0.8125,0.5625,0.5625,0.25
00-0039139,Jahmyr Gibbs,DET,Full Game,17,71.94117647058823,65.0,51.95752856984736,2.0,39.0,91.0,219.0,,,,14.294117647058824,15.0,0.5577114939435424,0.5525324788642675,,,,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.17647058823529413
00-0039165,Zach Charbonnet,SEA,Full Game,16,45.625,38.0,24.090649119523533,10.0,31.75,49.75,110.0,,,,11.5,12.0,0.3884402032094592,0.37231242725164276,,,,0.4375,0.25,0.1875,0.1875,0.125,0.0625
00-0039266,Kendall Milton,CIN,Full Game,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,0.09090909090909091,0.01904761904761905,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039299,George Holani,SEA,Full Game,4,18.25,18.0,10.894379284750462,6.0,8.25,28.0,31.0,,,,5.5,5.0,0.1593367683041596,0.15340691396725878,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039361,Bucky Irving,TB,Full Game,10,58.8,62.0,17.70197729068705,19.0,56.25,69.75,85.0,,,,17.3,16.5,0.5986402449733651,0.4950145595369578,,,,0.8,0.8,0.7,0.3,0.1,0.0
00-0039364,Sione Vaki,DET,Full Game,1,4.0,4.0,0.0,4.0,4.0,4.0,4.0,,,,1.0,1.0,0.030303030303030304,0.017699115044247787,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039373,Audric Estimé,NO,Full Game,5,39.6,19.0,33.368248380758615,11.0,11.0,63.0,94.0,,,,9.2,5.0,0.3660275919732442,0.38741686570607897,,,,0.4,0.4,0.4,0.2,0.2,0.0
00-0039384,Tyrone Tracy Jr.,NYG,Full Game,15,49.333333333333336,46.0,27.63009631221401,6.0,26.5,70.5,103.0,,,,11.733333333333333,10.0,0.3963188059084667,0.3880690260428186,,,,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667
00-0039391,Kimani Vidal,LAC,Full Game,12,53.583333333333336,31.5,45.27224744685079,11.0,16.75,100.5,126.0,,,,12.916666666666666,12.0,0.4285387734392471,0.3956901208309629,,,,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25
00-0039405,Jawhar Jordan,HOU,Full Game,4,48.25,44.5,35.36506044106245,3.0,27.75,65.0,101.0,,,,10.75,11.5,0.3557531622788976,0.4180801821563451,,,,0.5,0.5,0.25,0.25,0.25,0.25
