team,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_yds_hit_30,q1_rush_att_mean,rb_carry_capture,rb_yard_capture,opp_q1_rush_yds_allowed_mean,opp_q1_rush_yds_allowed_median,opp_q1_rush_yds_allowed_p75,opp_q1_rush_yds_allowed_hit_30,opp_q1_rush_att_allowed_mean
BUF,43.05882352941177,42.0,24.99993079575197,19.0,67.0,80.0,0.7058823529411765,0.6470588235294118,0.5882352941176471,7.0,0.8403361344537815,0.8729508196721312,36.52941176470589,30.0,52.0,0.5294117647058824,7.588235294117647
NE,40.8235294117647,32.0,27.231545924269625,19.0,57.0,108.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,7.647058823529412,0.8384615384615385,0.8097982708933718,29.058823529411764,24.0,47.0,0.4705882352941176,6.117647058823529
MIA,38.64705882352941,32.0,24.482745848671826,21.0,54.0,96.0,0.7647058823529411,0.7058823529411765,0.5882352941176471,6.0,0.9215686274509804,0.9162861491628614,31.94117647058824,20.0,56.0,0.4117647058823529,7.0
BAL,37.47058823529412,38.0,27.4507422958862,14.0,48.0,93.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,7.647058823529412,0.8461538461538461,0.8163265306122449,21.23529411764705,18.0,30.0,0.2941176470588235,6.0
PHI,37.1764705882353,32.0,21.423558484329533,23.0,40.0,112.0,0.9411764705882352,0.7058823529411765,0.5882352941176471,6.647058823529412,0.7610619469026548,0.7879746835443038,29.764705882352946,30.0,36.0,0.5294117647058824,6.588235294117647
LA,35.1764705882353,27.0,22.72918645607487,15.0,50.0,79.0,0.6470588235294118,0.5294117647058824,0.4705882352941176,6.470588235294118,0.9545454545454546,0.911371237458194,20.705882352941178,19.0,26.0,0.1176470588235294,5.705882352941177
DAL,33.94117647058823,29.0,20.74344854259885,20.0,44.0,78.0,0.7647058823529411,0.6470588235294118,0.4705882352941176,7.176470588235294,0.9016393442622952,0.9220103986135182,26.23529411764705,21.0,42.0,0.3529411764705882,5.470588235294118
CHI,32.35294117647059,31.0,22.632462828919483,18.0,40.0,84.0,0.7058823529411765,0.6470588235294118,0.5294117647058824,7.117647058823529,0.8512396694214877,0.850909090909091,31.764705882352946,22.0,41.0,0.3529411764705882,6.470588235294118
WAS,31.058823529411764,30.0,17.857180425071704,20.0,39.0,80.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,6.647058823529412,0.7345132743362832,0.7234848484848485,33.23529411764706,28.0,44.0,0.4705882352941176,6.470588235294118
IND,30.41176470588235,24.0,22.85261942388382,13.0,42.0,77.0,0.5882352941176471,0.4705882352941176,0.4117647058823529,6.588235294117647,0.8035714285714286,0.781431334622824,17.823529411764707,10.0,28.0,0.2352941176470588,5.0588235294117645
ATL,29.47058823529412,31.0,18.39155064011996,15.0,36.0,65.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,6.588235294117647,0.9732142857142856,0.9840319361277444,29.705882352941178,27.0,40.0,0.4117647058823529,5.941176470588236
TB,29.176470588235293,31.0,12.22935376156915,21.0,34.0,51.0,0.8235294117647058,0.6470588235294118,0.5294117647058824,6.764705882352941,0.8956521739130435,0.844758064516129,21.11764705882353,18.0,31.0,0.2941176470588235,4.823529411764706
CAR,29.176470588235293,29.0,17.50709198856834,16.0,40.0,67.0,0.6470588235294118,0.6470588235294118,0.4705882352941176,6.764705882352941,0.8347826086956521,0.7741935483870968,33.76470588235294,30.0,50.0,0.5294117647058824,6.235294117647059
SEA,28.294117647058822,19.0,20.769787746748467,14.0,37.0,88.0,0.4705882352941176,0.4705882352941176,0.4705882352941176,6.0,0.8725490196078431,0.893970893970894,25.529411764705884,23.0,35.0,0.3529411764705882,7.235294117647059
GB,28.23529411764705,23.0,21.23407198699272,15.0,33.0,84.0,0.5294117647058824,0.4705882352941176,0.3529411764705882,6.882352941176471,0.7692307692307693,0.69375,28.41176470588235,25.0,38.0,0.3529411764705882,6.352941176470588
NYG,27.11764705882353,22.0,15.818389718526891,17.0,39.0,60.0,0.6470588235294118,0.4705882352941176,0.4117647058823529,6.235294117647059,0.8679245283018868,0.7288503253796096,37.588235294117645,31.0,50.0,0.5294117647058824,6.823529411764706
SF,26.823529411764707,27.0,23.083570154390426,11.0,29.0,94.0,0.5294117647058824,0.5294117647058824,0.2352941176470588,6.117647058823529,0.8557692307692307,0.8442982456140351,33.35294117647059,30.0,34.0,0.5294117647058824,6.941176470588236
