game_id,week,team,window,opponent,player_id,pbp_player_name,gsis_id,player_name,position,rush_att,rush_yds,site,team_rush_att,team_rush_yds,carry_share,yard_share
2025_05_MIN_CLE,5,MIN,Q1,CLE,00-0037525,J.Mason,00-0037525,Jordan Mason,RB,3,16.0,A,5,24.0,0.6,0.6666666666666666
2025_05_MIN_CLE,5,CLE,Q1,MIN,00-0037267,J.Ford,00-0037267,Jerome Ford,RB,1,3.0,H,8,51.0,0.125,0.058823529411764705
2025_05_MIN_CLE,5,MIN,Q1,CLE,00-0038440,Z.Scott,00-0038440,Zavier Scott,RB,2,8.0,A,5,24.0,0.4,0.3333333333333333
2025_05_MIN_CLE,5,CLE,Q1,MIN,00-0040162,D.Sampson,00-0040162,Dylan Sampson,RB,0,0.0,H,8,51.0,0.0,0.0
2025_05_NE_BUF,5,NE,Q1,BUF,00-0036875,R.Stevenson,00-0036875,Rhamondre Stevenson,RB,1,-2.0,A,7,19.0,0.14285714285714285,-0.10526315789473684
2025_05_NE_BUF,5,BUF,Q1,NE,00-0037248,J.Cook,00-0037248,James Cook,RB,3,12.0,H,5,15.0,0.6,0.8
2025_05_NE_BUF,5,NE,Q1,BUF,00-0036328,A.Gibson,00-0036328,Antonio Gibson,RB,6,21.0,A,7,19.0,0.8571428571428571,1.105263157894737
2025_05_NE_BUF,5,BUF,Q1,NE,00-0035537,Ty.Johnson,00-0035537,Ty Johnson,RB,0,0.0,H,5,15.0,0.0,0.0
2025_05_NE_BUF,5,NE,Q1,BUF,00-0040734,T.Henderson,00-0040734,TreVeyon Henderson,RB,0,0.0,A,7,19.0,0.0,0.0
2025_05_NE_BUF,5,BUF,Q1,NE,00-0039875,R.Davis,00-0039875,Ray Davis,RB,0,0.0,H,5,15.0,0.0,0.0
2025_05_NYG_NO,5,NO,Q1,NYG,00-0033906,A.Kamara,00-0033906,Alvin Kamara,RB,4,15.0,H,8,17.0,0.5,0.8823529411764706
2025_05_NYG_NO,5,NYG,Q1,NO,00-0040715,C.Skattebo,00-0040715,Cam Skattebo,RB,3,15.0,A,5,41.0,0.6,0.36585365853658536
2025_05_NYG_NO,5,NO,Q1,NYG,00-0038551,K.Miller,00-0038551,Kendre Miller,RB,1,2.0,H,8,17.0,0.125,0.11764705882352941
