model,split,spearman,top5_capture,top10_capture,top5_overlap,top10_overlap,top5_hit20,top10_hit20,top5_avg_yards,top10_avg_yards,top1_yards,weeks,objective
v0.4 baseline,train_wk5_12,0.3852450198341227,0.3678134218682198,0.4833970057478784,0.125,0.325,0.325,0.325,16.65,17.375,19.375,8,0.47113348492973256
v0.4 baseline,test_wk13_18,0.46192673216307395,0.47052866485416517,0.5197385743041049,0.20000000000000004,0.26666666666666666,0.4000000000000001,0.35000000000000003,22.3,19.916666666666668,20.0,6,0.5365656809502329
v0.4 baseline,all_wk5_18,0.4181086108322446,0.4118342402907678,0.49897196370054686,0.15714285714285717,0.3,0.35714285714285715,0.33571428571428574,19.071428571428573,18.464285714285715,19.642857142857142,14,0.49917585465280406
walk-forward optimized,train_wk5_12,0.48161140411110914,0.48656496647989167,0.5866824340457693,0.2,0.4,0.525,0.4125,21.925,21.15,25.125,8,0.5637538075449725
walk-forward optimized,test_wk13_18,0.5372172306507748,0.5290706400912003,0.6109766248180989,0.3,0.3666666666666667,0.4666666666666666,0.48333333333333334,25.433333333333334,23.55,24.666666666666668,6,0.5931415369192244
walk-forward optimized,all_wk5_18,0.5054424726281087,0.504781683741881,0.5970942300910533,0.24285714285714288,0.38571428571428573,0.5,0.4428571428571429,23.428571428571427,22.178571428571427,24.928571428571427,14,0.5763485487053661
