team_depth,depth_player_name,player_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order,player_name,team_hist,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean,hist_data_available,same_team_2025_2026,depth_default_room_share,role_confidence
NO,Kendre Miller,00-0038551,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Kendre Miller,NO,7.0,6.714285714285714,6.0,6.295447010437343,0.0,2.0,8.5,20.0,0.1428571428571428,0.1428571428571428,0.0,1.1428571428571428,1.0,2.0,0.1781746031746031,0.1834550977881549,True,True,0.07,0.72
NYG,Cam Skattebo,00-0040715,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Cam Skattebo,NYG,8.0,10.375,9.5,7.873015622999868,-2.0,6.5,12.75,27.0,0.25,0.125,0.125,2.625,3.0,4.0,0.4384920634920635,0.3441647693530764,True,True,0.68,0.72
NYG,Tyrone Tracy Jr.,00-0039384,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Tyrone Tracy Jr.,NYG,15.0,10.266666666666667,10.0,11.04817732579552,-3.0,3.0,13.5,40.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,3.1333333333333333,3.0,7.0,0.4889417989417989,0.4664915557715917,True,True,0.25,0.97
NYG,Najee Harris,00-0036893,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Najee Harris,LAC,3.0,6.333333333333333,6.0,5.312459150169743,0.0,3.0,9.5,13.0,0.0,0.0,0.0,1.3333333333333333,1.0,3.0,0.2095238095238095,0.2294593444018731,True,False,0.07,0.72
NYJ,Breece Hall,00-0038120,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Breece Hall,NYJ,16.0,15.0625,15.0,11.121312591146784,1.0,6.25,17.5,42.0,0.5625,0.1875,0.125,3.8125,4.0,7.0,0.6179247835497836,0.8770812933467718,True,True,0.68,0.97
NYJ,Braelon Allen,00-0039794,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Braelon Allen,NYJ,4.0,7.75,2.5,10.638961415476606,0.0,0.75,9.5,26.0,0.25,0.25,0.25,2.0,2.0,4.0,0.1948051948051948,0.1228864211219292,True,True,0.25,0.72
NYJ,Isaiah Davis,00-0039798,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Isaiah Davis,NYJ,13.0,4.307692307692308,3.0,4.4095109686050815,0.0,0.0,6.0,13.0,0.0,0.0,0.0,1.1538461538461535,1.0,3.0,0.1563991563991563,0.154192595653677,True,True,0.07,0.9
PHI,Saquon Barkley,00-0034844,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Saquon Barkley,PHI,16.0,23.0,19.5,18.801595676963167,0.0,15.25,28.25,82.0,0.75,0.5,0.375,4.3125,4.0,8.0,0.6001488095238096,0.5860659112317322,True,True,0.68,0.97
PHI,Tank Bigsby,00-0038555,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Tank Bigsby,PHI,10.0,6.1,2.5,7.790378681424928,0.0,0.0,9.5,22.0,0.2,0.1,0.0,0.7,0.5,2.0,0.1086111111111111,0.1633105590062111,True,True,0.25,0.9
PHI,Tank Bigsby,00-0038555,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Tank Bigsby,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.25,0.72
PHI,Will Shipley,00-0039746,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Will Shipley,PHI,6.0,5.5,2.0,8.902246907382429,0.0,0.0,4.0,25.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.5,2.0,0.0861111111111111,0.1194841269841269,True,True,0.07,0.72
PIT,Jaylen Warren,00-0037228,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Jaylen Warren,PIT,16.0,15.875,13.0,12.902882429906892,0.0,6.5,22.5,48.0,0.5,0.3125,0.25,3.375,3.0,7.0,0.5727678571428572,0.61994768951723,True,True,0.68,0.97
PIT,Rico Dowdle,00-0036139,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Rico Dowdle,CAR,17.0,15.058823529411764,11.0,12.927265250284416,0.0,4.0,31.0,34.0,0.4117647058823529,0.3529411764705882,0.2941176470588235,3.7058823529411766,3.0,8.0,0.5634633340515693,0.497580028861484,True,False,0.25,0.72
PIT,Eli Heidenreich,00-0041490,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
SEA,Jadarian Price,00-0041512,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,,,,,,,,,,,,,,,,,,,False,False,0.68,0.55
SEA,George Holani,00-0039299,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,George Holani,SEA,4.0,2.25,0.0,3.897114317029974,0.0,0.0,2.25,9.0,0.0,0.0,0.0,0.25,0.0,1.0,0.03125,0.0625,True,True,0.25,0.72
SEA,Emanuel Wilson,00-0038797,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Emanuel Wilson,GB,16.0,3.5,2.0,4.650268809434569,-1.0,0.0,5.25,17.0,0.0625,0.0,0.0,1.3125,1.0,6.0,0.2216547341547341,0.1794455086318294,True,False,0.07,0.72
SF,Christian McCaffrey,00-0033280,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Christian McCaffrey,SF,17.0,17.941176470588236,17.0,16.34722710156174,0.0,4.0,26.0,61.0,0.5294117647058824,0.3529411764705882,0.2941176470588235,4.235294117647059,4.0,8.0,0.6902809608691962,0.7039616818444969,True,True,0.68,0.97
SF,Kaelon Black,00-0041052,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,,,,,,,,,,,,,,,,,,,False,False,0.25,0.55
SF,Jordan James,00-0040177,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
TB,Bucky Irving,00-0039361,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Bucky Irving,TB,10.0,18.6,19.0,8.01498596380555,4.0,12.25,25.25,29.0,0.7,0.4,0.3,4.9,5.0,7.0,0.7446645021645022,0.687349430253842,True,True,0.68,0.9
TB,Kenny Gainwell,00-0036919,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Kenneth Gainwell,PIT,16.0,5.625,3.5,6.333196270446701,-1.0,0.75,10.25,19.0,0.125,0.0,0.0,1.8125,2.0,3.0,0.3265625,0.2822012050974797,True,False,0.25,0.72
TB,Sean Tucker,00-0038951,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Sean Tucker,TB,14.0,5.428571428571429,0.5,7.384484561897191,0.0,0.0,10.25,23.0,0.1428571428571428,0.0714285714285714,0.0,1.2857142857142858,0.5,5.0,0.1683673469387755,0.1556995404544796,True,True,0.07,0.9
TEN,Tony Pollard,00-0035261,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Tony Pollard,TEN,17.0,21.94117647058824,13.0,19.90113974931585,1.0,10.0,28.0,87.0,0.4705882352941176,0.4705882352941176,0.3529411764705882,4.176470588235294,4.0,8.0,0.7565826330532213,0.8457818372479464,True,True,0.68,0.97
TEN,Tyjae Spears,00-0039032,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Tyjae Spears,TEN,13.0,2.3846153846153846,1.0,2.84303363270405,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.8461538461538461,1.0,2.0,0.1324481074481074,0.0862634316600653,True,True,0.25,0.9
TEN,Nicholas Singleton,00-0040886,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
WAS,Jacory Croskey-Merritt,00-0040242,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Jacory Croskey-Merritt,WAS,17.0,8.588235294117647,7.0,8.898504986988558,0.0,0.0,14.0,30.0,0.2352941176470588,0.1176470588235294,0.0588235294117647,2.294117647058824,2.0,7.0,0.354014939309057,0.3690215990546708,True,True,0.68,0.97
WAS,Rachaad White,00-0037256,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Rachaad White,TB,17.0,9.235294117647058,7.0,8.37032160296271,0.0,3.0,14.0,31.0,0.2352941176470588,0.1764705882352941,0.0588235294117647,2.117647058823529,2.0,6.0,0.3423245055597996,0.3509841678881993,True,False,0.25,0.72
WAS,Kaytron Allen,00-0041096,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
