team,player_name,gsis_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source
KC,Brashard Smith,00-0040078,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LA,Kyren Williams,00-0037840,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LA,Blake Corum,00-0039738,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LA,Ronnie Rivers,00-0037557,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LAC,Omarion Hampton,00-0040666,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LAC,Keaton Mitchell,00-0038454,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LAC,Kimani Vidal,00-0039391,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LV,Ashton Jeanty,00-0040122,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LV,Mike Washington Jr.,WAS569019,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LV,Dylan Laube,00-0039407,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
LV,Chris Collier,00-0039244,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIA,De'Von Achane,00-0039040,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIA,Jaylen Wright,00-0039874,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIA,Ollie Gordon II,00-0040198,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIN,Aaron Jones Sr.,00-0033293,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIN,Jordan Mason,00-0037525,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIN,Demond Claiborne,00-0041104,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
MIN,Jermar Jefferson,00-0036670,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NE,Rhamondre Stevenson,00-0036875,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NE,TreVeyon Henderson,00-0040734,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NE,Corey Kiner,00-0040556,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NE,Myles Montgomery,00-0041323,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NO,Travis Etienne Jr.,00-0036973,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NO,Alvin Kamara,00-0033906,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NO,Kendre Miller,00-0038551,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NO,Audric Estime,00-0039373,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NO,Ty Chandler,00-0037276,11,5,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYG,Cam Skattebo,00-0040715,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYG,Tyrone Tracy Jr.,00-0039384,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYG,Najee Harris,00-0036893,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYG,Devin Singletary,00-0035250,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYJ,Breece Hall,00-0038120,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYJ,Braelon Allen,00-0039794,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYJ,Isaiah Davis,00-0039798,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYJ,Kene Nwangwu,00-0036842,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
NYJ,Chip Trayanum,00-0041239,11,5,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PHI,Saquon Barkley,00-0034844,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PHI,Tank Bigsby,00-0038555,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PHI,Will Shipley,00-0039746,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PIT,Jaylen Warren,00-0037228,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PIT,Rico Dowdle,00-0036139,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
PIT,Eli Heidenreich,00-0041490,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SEA,Jadarian Price,00-0041512,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SEA,George Holani,00-0039299,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
