defense,window,rush_yds_allowed_games,rush_yds_allowed_mean,rush_yds_allowed_median,rush_yds_allowed_std,rush_yds_allowed_min,rush_yds_allowed_p25,rush_yds_allowed_p75,rush_yds_allowed_max,rush_yds_allowed_hit_20,rush_yds_allowed_hit_25,rush_yds_allowed_hit_30,rush_yds_allowed_hit_35,rush_yds_allowed_hit_40,rush_att_allowed_mean,ypc_allowed,rush_yds_allowed_hit_45,rush_yds_allowed_hit_55,rush_yds_allowed_hit_65,rush_yds_allowed_hit_75,rush_yds_allowed_hit_50,rush_yds_allowed_hit_60,rush_yds_allowed_hit_70,rush_yds_allowed_hit_80,rush_yds_allowed_hit_100,rush_yds_allowed_hit_120
NYJ,Q1,17,39.05882352941177,34.0,23.5483747115824,13.0,20.0,48.0,96.0,0.8235294117647058,0.5882352941176471,0.5294117647058824,0.47058823529411764,0.4117647058823529,8.058823529411764,4.846715328467154,,,,,,,,,,
PHI,Q1,17,29.764705882352942,30.0,16.32223100294487,11.0,18.0,36.0,84.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.29411764705882354,0.11764705882352941,6.588235294117647,4.517857142857143,,,,,,,,,,
PIT,Q1,17,28.0,21.0,21.254757252962285,8.0,13.0,32.0,87.0,0.5294117647058824,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.23529411764705882,6.647058823529412,4.212389380530974,,,,,,,,,,
SEA,Q1,17,25.529411764705884,23.0,17.938186829019337,3.0,14.0,35.0,79.0,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.29411764705882354,0.17647058823529413,7.235294117647059,3.5284552845528454,,,,,,,,,,
SF,Q1,17,33.35294117647059,30.0,17.374562801001687,13.0,27.0,34.0,88.0,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.23529411764705882,0.17647058823529413,6.9411764705882355,4.805084745762712,,,,,,,,,,
TB,Q1,17,21.11764705882353,18.0,12.860712417103203,0.0,13.0,31.0,53.0,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.11764705882352941,4.823529411764706,4.378048780487805,,,,,,,,,,
TEN,Q1,17,27.058823529411764,27.0,21.02231472181348,-2.0,13.0,35.0,67.0,0.5294117647058824,0.5294117647058824,0.35294117647058826,0.29411764705882354,0.23529411764705882,5.882352941176471,4.6,,,,,,,,,,
WAS,Q1,17,33.23529411764706,28.0,19.788675941096468,2.0,18.0,44.0,78.0,0.6470588235294118,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.29411764705882354,6.470588235294118,5.136363636363637,,,,,,,,,,
ARI,1H,17,61.411764705882355,70.0,26.28589159389145,9.0,50.0,77.0,109.0,,,,0.8235294117647058,,13.0,4.723981900452489,0.7647058823529411,0.5294117647058824,0.5294117647058824,0.35294117647058826,,,,,,
ATL,1H,17,54.76470588235294,52.0,25.203943229686494,19.0,38.0,66.0,104.0,,,,0.7647058823529411,,12.0,4.563725490196078,0.6470588235294118,0.4117647058823529,0.29411764705882354,0.17647058823529413,,,,,,
BAL,1H,17,49.35294117647059,54.0,21.376020585117413,22.0,31.0,62.0,99.0,,,,0.6470588235294118,,12.352941176470589,3.9952380952380953,0.5882352941176471,0.47058823529411764,0.11764705882352941,0.11764705882352941,,,,,,
BUF,1H,17,87.88235294117646,73.0,45.03839192738618,33.0,56.0,118.0,177.0,,,,0.9411764705882353,,15.882352941176471,5.533333333333333,0.8823529411764706,0.7647058823529411,0.5882352941176471,0.47058823529411764,,,,,,
CAR,1H,17,70.52941176470588,71.0,35.504958472367875,14.0,47.0,86.0,158.0,,,,0.8823529411764706,,14.294117647058824,4.934156378600823,0.8235294117647058,0.6470588235294118,0.5882352941176471,0.4117647058823529,,,,,,
